Merchant ID,Merchant Criteria,Merchant Type
X605500023,(UBE) Usaha Besar,Health Service
X605500036,(UBE) Usaha Besar,Health Service
X605500045,(UBE) Usaha Besar,Health Service
X606500100,(UBE) Usaha Besar,Health Service
X606500101,(UBE) Usaha Besar,Health Service
X606500124,(UBE) Usaha Besar,Health Service
X606500129,(UBE) Usaha Besar,Health Service
X607500043,(UBE) Usaha Besar,Health Service
X607500046,(UBE) Usaha Besar,Health Service
X607500049,(UBE) Usaha Besar,Health Service
X607500050,(UBE) Usaha Besar,Health Service
X607500064,(UBE) Usaha Besar,Health Service
X607500065,(UBE) Usaha Besar,Health Service
X607500066,(UBE) Usaha Besar,Health Service
X607500071,(UBE) Usaha Besar,Health Service
X607500090,(UBE) Usaha Besar,Health Service
X608500183,(UBE) Usaha Besar,Health Service
X615500126,(UBE) Usaha Besar,Health Service
X615500144,(UBE) Usaha Besar,Health Service
X615500146,(UBE) Usaha Besar,Health Service
X618500013,(UBE) Usaha Besar,Health Service
X618500016,(UBE) Usaha Besar,Health Service
X618500043,(UBE) Usaha Besar,Health Service
X604500094,(UBE) Usaha Besar,Health Service
X604500109,(UBE) Usaha Besar,Health Service
X604500112,(UBE) Usaha Besar,Health Service
X604500120,(UBE) Usaha Besar,Health Service
X604500127,(UBE) Usaha Besar,Health Service
X604500153,(UBE) Usaha Besar,Health Service
X607500095,(UBE) Usaha Besar,Health Service
X609002990,(UMI) Usaha Mikro,Restaurants
X607001967,(UKE) Usaha Kecil,Restaurants
X601001986,(UKE) Usaha Kecil,Education
X607001977,(UKE) Usaha Kecil,Restaurants
X610003651,(UKE) Usaha Kecil,Supermarket/Grocery Stores
X604003107,(UKE) Usaha Kecil,Restaurants
X607001983,(UKE) Usaha Kecil,Restaurants
X617004532,(UKE) Usaha Kecil,Miscellaneous
X614003939,(UME) Usaha Menengah,Travel
X602004685,(UMI) Usaha Mikro,Miscellaneous
X609005929,(UKE) Usaha Kecil,Food & Beverages
X609006038,(UKE) Usaha Kecil,Restaurants
X611001830,(UMI) Usaha Mikro,Restaurants
X609006392,(UKE) Usaha Kecil,Food & Beverages
X612002036,(UKE) Usaha Kecil,Restaurants
X612002745,(UKE) Usaha Kecil,Restaurants
X611002051,(UME) Usaha Menengah,Restaurants
X604404161,(UMI) Usaha Mikro,Miscellaneous
X618001746,(UME) Usaha Menengah,Restaurants
X603003287,(UMI) Usaha Mikro,Miscellaneous
X618002804,(UKE) Usaha Kecil,Miscellaneous
X601002169,(UKE) Usaha Kecil,Restaurants
X610003217,(UKE) Usaha Kecil,Restaurants
X608006731,(UKE) Usaha Kecil,Entertainment
X608007209,(UMI) Usaha Mikro,Restaurants
X609006499,(UMI) Usaha Mikro,Restaurants
X618002910,(UKE) Usaha Kecil,Restaurants
X608007258,(UMI) Usaha Mikro,Restaurants
X618002930,(UMI) Usaha Mikro,Miscellaneous
X618002934,(UMI) Usaha Mikro,Miscellaneous
X614003592,(UKE) Usaha Kecil,Food & Beverages
X611002018,(UMI) Usaha Mikro,Restaurants
X612003603,(UME) Usaha Menengah,Restaurants
X607402362,(UKE) Usaha Kecil,Entertainment
X615005800,(UME) Usaha Menengah,Restaurants
X602003858,(UMI) Usaha Mikro,Home Furnishing
X617007336,(UMI) Usaha Mikro,Community Agencies
X609007150,(UKE) Usaha Kecil,Telecommunication
X609007710,(UKE) Usaha Kecil,Miscellaneous
X609007729,(UKE) Usaha Kecil,Home Furnishing
X609007741,(UKE) Usaha Kecil,Hotels & Motels
X615007060,(UKE) Usaha Kecil,Restaurants
X601043314,(UBE) Usaha Besar,Restaurants
X612002908,(UMI) Usaha Mikro,Miscellaneous
X602005014,(UMI) Usaha Mikro,Restaurants
X609006589,(UMI) Usaha Mikro,Food & Beverages
X617019522,(UKE) Usaha Kecil,Food & Beverages
X614007586,(UKE) Usaha Kecil,Clothing
X614007670,(UKE) Usaha Kecil,Restaurants
X604003714,(UMI) Usaha Mikro,Community Agencies
X608007542,(UMI) Usaha Mikro,Restaurants
X603003398,(UME) Usaha Menengah,Health Service
X609006512,(UMI) Usaha Mikro,Restaurants
X615005875,(UBE) Usaha Besar,Health Service
X615005878,(UBE) Usaha Besar,Health Service
X614008598,(UBE) Usaha Besar,Health Service
X606005269,(UBE) Usaha Besar,Health Service
X605002575,(UME) Usaha Menengah,Restaurants
X618002799,(UKE) Usaha Kecil,Restaurants
X602001179,(UKE) Usaha Kecil,Electronic
X617007290,(UKE) Usaha Kecil,Supermarket/Grocery Stores
X617007343,(UMI) Usaha Mikro,Community Agencies
X603007349,(UKE) Usaha Kecil,Restaurants
X618003172,(UKE) Usaha Kecil,Food & Beverages
X607000106,(UKE) Usaha Kecil,Restaurants
X607000354,(UKE) Usaha Kecil,Entertainment
X612004584,(UME) Usaha Menengah,Restaurants
X609006636,(UMI) Usaha Mikro,Restaurants
X614003730,(UKE) Usaha Kecil,Watches & Jewelry
X603007435,(UMI) Usaha Mikro,Stationaries/Office
X610001160,(UKE) Usaha Kecil,Restaurants
X607000900,(UKE) Usaha Kecil,Entertainment
X607000901,(UKE) Usaha Kecil,Entertainment
X608000451,(UKE) Usaha Kecil,Restaurants
X618003180,(UME) Usaha Menengah,Restaurants
X612004661,(UME) Usaha Menengah,Food & Beverages
X614001986,(UKE) Usaha Kecil,Restaurants
X615001741,(UKE) Usaha Kecil,Restaurants
X607004247,(UKE) Usaha Kecil,Hotels & Motels
X607004253,(UKE) Usaha Kecil,Restaurants
X607004257,(UKE) Usaha Kecil,Miscellaneous
X612008428,(UMI) Usaha Mikro,Restaurants
X305011995,(UKE) Usaha Kecil,Restaurants
X610004888,(UKE) Usaha Kecil,Restaurants
X612500042,(UBE) Usaha Besar,Health Service
X617004431,(UBE) Usaha Besar,Hotels & Motels
X611004967,(UKE) Usaha Kecil,Restaurants
X601003734,(UKE) Usaha Kecil,Miscellaneous
X608011185,(UMI) Usaha Mikro,Health Service
X618004120,(UKE) Usaha Kecil,Restaurants
X618001947,(UMI) Usaha Mikro,Restaurants
X618002929,(UKE) Usaha Kecil,Restaurants
X603003969,(UMI) Usaha Mikro,Restaurants
X608012183,(UMI) Usaha Mikro,Restaurants
X603033300,(UMI) Usaha Mikro,Supermarket/Grocery Stores
X608007673,(UKE) Usaha Kecil,Restaurants
X608010382,(UKE) Usaha Kecil,Restaurants
X602003752,(UMI) Usaha Mikro,Supermarket/Grocery Stores
X602005749,(UMI) Usaha Mikro,Restaurants
X609006775,(UMI) Usaha Mikro,Restaurants
X608012319,(UMI) Usaha Mikro,Health Service
X618004764,(UMI) Usaha Mikro,Miscellaneous
X609006847,(UME) Usaha Menengah,Miscellaneous
X604003814,(UME) Usaha Menengah,Miscellaneous
X604003807,(UBE) Usaha Besar,Health Service
X602003768,(UMI) Usaha Mikro,Community Agencies
X606003475,(UBE) Usaha Besar,Transportation
X603003707,(UMI) Usaha Mikro,Entertainment
X603003725,(UME) Usaha Menengah,Restaurants
X606003480,(UBE) Usaha Besar,Transportation
X601012921,(UKE) Usaha Kecil,Restaurants
X617007390,(UME) Usaha Menengah,Restaurants
X603033800,(UME) Usaha Menengah,Restaurants
X608012206,(UBE) Usaha Besar,Restaurants
X608012207,(UBE) Usaha Besar,Restaurants
X608012210,(UBE) Usaha Besar,Restaurants
X608012211,(UBE) Usaha Besar,Restaurants
X609006858,(UMI) Usaha Mikro,Miscellaneous
X605500057,(UBE) Usaha Besar,Miscellaneous
X606500180,(UBE) Usaha Besar,Restaurants
X608500448,(UBE) Usaha Besar,Miscellaneous
X609500171,(UBE) Usaha Besar,Miscellaneous
X617500115,(UBE) Usaha Besar,Miscellaneous
X608500446,(UBE) Usaha Besar,Miscellaneous
X611500077,(UBE) Usaha Besar,Miscellaneous
X609006844,(UMI) Usaha Mikro,Restaurants
X618004898,(UMI) Usaha Mikro,Stationaries/Office
X608013804,(UMI) Usaha Mikro,Restaurants
X618004918,(UKE) Usaha Kecil,Hotels & Motels
X610005209,(UME) Usaha Menengah,Restaurants
X603033380,(UMI) Usaha Mikro,Miscellaneous
X608012869,(UME) Usaha Menengah,Miscellaneous
X608012203,(UBE) Usaha Besar,Restaurants
X612006948,(UMI) Usaha Mikro,Miscellaneous
X610005028,(UKE) Usaha Kecil,Restaurants
X602004405,(UMI) Usaha Mikro,Restaurants
X603006916,(UME) Usaha Menengah,Health Service
X602005501,(UMI) Usaha Mikro,Miscellaneous
X609006583,(UKE) Usaha Kecil,Restaurants
X609070572,(UKE) Usaha Kecil,Restaurants
X603005427,(UMI) Usaha Mikro,Entertainment
X604410611,(UKE) Usaha Kecil,Miscellaneous
X616005031,(UME) Usaha Menengah,Miscellaneous
X618002926,(UMI) Usaha Mikro,Miscellaneous
X618008022,(UMI) Usaha Mikro,Miscellaneous
X608010490,(UME) Usaha Menengah,Entertainment
X608012486,(UMI) Usaha Mikro,Clothing
X608012905,(UMI) Usaha Mikro,Miscellaneous
X606005347,(UME) Usaha Menengah,Supermarket/Grocery Stores
X605004519,(UKE) Usaha Kecil,Clothing
X610034487,(UKE) Usaha Kecil,Restaurants
X608012515,(UMI) Usaha Mikro,Home Furnishing
X608012522,(UMI) Usaha Mikro,Restaurants
X612004262,(UME) Usaha Menengah,Health Service
X608007702,(UKE) Usaha Kecil,Supermarket/Grocery Stores
X614005839,(UKE) Usaha Kecil,Restaurants
X614005842,(UKE) Usaha Kecil,Miscellaneous
X614003695,(UMI) Usaha Mikro,Watches & Jewelry
X618004762,(UKE) Usaha Kecil,Restaurants
X601003823,(UKE) Usaha Kecil,Supermarket/Grocery Stores
X202041133,(UBE) Usaha Besar,Entertainment
X202041166,(UBE) Usaha Besar,Entertainment
X202041398,(UBE) Usaha Besar,Entertainment
X202041422,(UBE) Usaha Besar,Entertainment
X202102059,(UBE) Usaha Besar,Restaurants
X202102125,(UBE) Usaha Besar,Restaurants
X202102166,(UBE) Usaha Besar,Restaurants
X202102307,(UBE) Usaha Besar,Restaurants
X202102414,(UBE) Usaha Besar,Restaurants
X203052691,(UBE) Usaha Besar,Entertainment
X203052741,(UBE) Usaha Besar,Entertainment
X203128707,(UBE) Usaha Besar,Restaurants
X203162888,(UBE) Usaha Besar,Restaurants
X203165451,(UBE) Usaha Besar,Entertainment
X203165527,(UBE) Usaha Besar,Entertainment
X203165535,(UBE) Usaha Besar,Entertainment
X204026769,(UBE) Usaha Besar,Telecommunication
X204032163,(UBE) Usaha Besar,Restaurants
X204168629,(UBE) Usaha Besar,Restaurants
X204170559,(UBE) Usaha Besar,Health Service
X204186696,(UBE) Usaha Besar,Transportation
X204200406,(UBE) Usaha Besar,Restaurants
X204203186,(UBE) Usaha Besar,Department Stores
X204204390,(UBE) Usaha Besar,Entertainment
X204204408,(UBE) Usaha Besar,Entertainment
X204204424,(UBE) Usaha Besar,Entertainment
X204204457,(UBE) Usaha Besar,Entertainment
X204204523,(UBE) Usaha Besar,Entertainment
X204204721,(UBE) Usaha Besar,Entertainment
X204204739,(UBE) Usaha Besar,Entertainment
X204204796,(UBE) Usaha Besar,Entertainment
X204204804,(UBE) Usaha Besar,Entertainment
X205044498,(UBE) Usaha Besar,Entertainment
X205126006,(UBE) Usaha Besar,Restaurants
X205170129,(UBE) Usaha Besar,Health Service
X206144560,(UBE) Usaha Besar,Restaurants
X206178873,(UBE) Usaha Besar,Restaurants
X206181745,(UBE) Usaha Besar,Entertainment
X206181836,(UBE) Usaha Besar,Entertainment
X206181851,(UBE) Usaha Besar,Entertainment
X206181893,(UBE) Usaha Besar,Entertainment
X206182172,(UBE) Usaha Besar,Entertainment
X206182214,(UBE) Usaha Besar,Entertainment
X207035999,(UBE) Usaha Besar,Restaurants
X207036104,(UBE) Usaha Besar,Entertainment
X207036138,(UBE) Usaha Besar,Entertainment
X207036229,(UBE) Usaha Besar,Entertainment
X207104928,(UBE) Usaha Besar,Restaurants
X207104936,(UBE) Usaha Besar,Restaurants
X207104993,(UBE) Usaha Besar,Restaurants
X207105016,(UBE) Usaha Besar,Restaurants
X212146765,(UBE) Usaha Besar,Supermarket/Grocery Stores
X212291470,(UBE) Usaha Besar,Restaurants
X214136392,(UBE) Usaha Besar,Restaurants
X214136533,(UBE) Usaha Besar,Restaurants
X214136632,(UBE) Usaha Besar,Restaurants
X214369639,(UBE) Usaha Besar,Restaurants
X214407926,(UBE) Usaha Besar,Restaurants
X214433799,(UBE) Usaha Besar,Health Service
X214435026,(UBE) Usaha Besar,Restaurants
X214436065,(UBE) Usaha Besar,Department Stores
X214438053,(UBE) Usaha Besar,Shoes And Bag
X214480881,(UBE) Usaha Besar,Entertainment
X214480956,(UBE) Usaha Besar,Entertainment
X214480980,(UBE) Usaha Besar,Entertainment
X214481020,(UBE) Usaha Besar,Entertainment
X214481046,(UBE) Usaha Besar,Entertainment
X214481079,(UBE) Usaha Besar,Entertainment
X214481087,(UBE) Usaha Besar,Entertainment
X214481111,(UBE) Usaha Besar,Entertainment
X214481145,(UBE) Usaha Besar,Entertainment
X214481178,(UBE) Usaha Besar,Entertainment
X214481301,(UBE) Usaha Besar,Entertainment
X214481483,(UBE) Usaha Besar,Entertainment
X214481590,(UBE) Usaha Besar,Entertainment
X214481640,(UBE) Usaha Besar,Entertainment
X214484602,(UBE) Usaha Besar,Restaurants
X215113051,(UBE) Usaha Besar,Restaurants
X215115932,(UBE) Usaha Besar,Food & Beverages
X215116138,(UBE) Usaha Besar,Food & Beverages
X215144064,(UBE) Usaha Besar,Home Furnishing
X215147067,(UBE) Usaha Besar,Restaurants
X215147828,(UBE) Usaha Besar,Entertainment
X215147851,(UBE) Usaha Besar,Entertainment
X215147901,(UBE) Usaha Besar,Entertainment
X215147919,(UBE) Usaha Besar,Entertainment
X215147943,(UBE) Usaha Besar,Entertainment
X215147976,(UBE) Usaha Besar,Entertainment
X215147984,(UBE) Usaha Besar,Entertainment
X215148008,(UBE) Usaha Besar,Entertainment
X215148016,(UBE) Usaha Besar,Entertainment
X215148040,(UBE) Usaha Besar,Entertainment
X215148222,(UBE) Usaha Besar,Entertainment
X215148230,(UBE) Usaha Besar,Entertainment
X215148263,(UBE) Usaha Besar,Entertainment
X215148289,(UBE) Usaha Besar,Entertainment
X215148305,(UBE) Usaha Besar,Entertainment
X215148313,(UBE) Usaha Besar,Entertainment
X215148347,(UBE) Usaha Besar,Entertainment
X215271982,(UBE) Usaha Besar,Restaurants
X215302449,(UBE) Usaha Besar,Restaurants
X215302472,(UBE) Usaha Besar,Restaurants
X215312752,(UBE) Usaha Besar,Food & Beverages
X215338120,(UBE) Usaha Besar,Restaurants
X208143248,(UBE) Usaha Besar,Health Service
X208143628,(UBE) Usaha Besar,Health Service
X208143701,(UBE) Usaha Besar,Health Service
X208143768,(UBE) Usaha Besar,Health Service
X208143859,(UBE) Usaha Besar,Health Service
X208147611,(UBE) Usaha Besar,Restaurants
X208218891,(UBE) Usaha Besar,Transportation
X208235259,(UBE) Usaha Besar,Entertainment
X208235366,(UBE) Usaha Besar,Entertainment
X208235374,(UBE) Usaha Besar,Entertainment
X208235382,(UBE) Usaha Besar,Entertainment
X208235416,(UBE) Usaha Besar,Entertainment
X209039411,(UBE) Usaha Besar,Food & Beverages
X209055649,(UBE) Usaha Besar,Restaurants
X209138494,(UBE) Usaha Besar,Restaurants
X209200310,(UBE) Usaha Besar,Food & Beverages
X209207539,(UBE) Usaha Besar,Entertainment
X209207547,(UBE) Usaha Besar,Entertainment
X209207562,(UBE) Usaha Besar,Entertainment
X209207570,(UBE) Usaha Besar,Entertainment
X209207760,(UBE) Usaha Besar,Entertainment
X209207778,(UBE) Usaha Besar,Entertainment
X209207786,(UBE) Usaha Besar,Entertainment
X209207844,(UBE) Usaha Besar,Entertainment
X210122743,(UBE) Usaha Besar,Restaurants
X210184685,(UBE) Usaha Besar,Automobiles And Vehicles
X210284170,(UBE) Usaha Besar,Restaurants
X210301461,(UBE) Usaha Besar,Supermarket/Grocery Stores
X210334504,(UBE) Usaha Besar,Restaurants
X210338737,(UBE) Usaha Besar,Entertainment
X210338745,(UBE) Usaha Besar,Entertainment
X210338786,(UBE) Usaha Besar,Entertainment
X210338802,(UBE) Usaha Besar,Entertainment
X210338810,(UBE) Usaha Besar,Entertainment
X210338851,(UBE) Usaha Besar,Entertainment
X210338869,(UBE) Usaha Besar,Entertainment
X210338885,(UBE) Usaha Besar,Entertainment
X210338901,(UBE) Usaha Besar,Entertainment
X210339024,(UBE) Usaha Besar,Entertainment
X210339073,(UBE) Usaha Besar,Entertainment
X210339107,(UBE) Usaha Besar,Entertainment
X210339149,(UBE) Usaha Besar,Entertainment
X210339164,(UBE) Usaha Besar,Entertainment
X210339172,(UBE) Usaha Besar,Entertainment
X211099130,(UBE) Usaha Besar,Restaurants
X211144712,(UBE) Usaha Besar,Entertainment
X211144720,(UBE) Usaha Besar,Entertainment
X211170204,(UBE) Usaha Besar,Health Service
X212126957,(UBE) Usaha Besar,Restaurants
X212144042,(UBE) Usaha Besar,Entertainment
X212144083,(UBE) Usaha Besar,Entertainment
X212144091,(UBE) Usaha Besar,Entertainment
X212144109,(UBE) Usaha Besar,Entertainment
X212144133,(UBE) Usaha Besar,Entertainment
X212144174,(UBE) Usaha Besar,Entertainment
X212144208,(UBE) Usaha Besar,Entertainment
X212144240,(UBE) Usaha Besar,Entertainment
X209080423,(UBE) Usaha Besar,Food & Beverages
X209132786,(UBE) Usaha Besar,Telecommunication
X210288148,(UBE) Usaha Besar,Restaurants
X210339115,(UBE) Usaha Besar,Entertainment
X210339206,(UBE) Usaha Besar,Entertainment
X210900014,(UBE) Usaha Besar,Health Service
X214136186,(UBE) Usaha Besar,Food & Beverages
X214136657,(UBE) Usaha Besar,Restaurants
X214342040,(UBE) Usaha Besar,Restaurants
X214434839,(UBE) Usaha Besar,Restaurants
X214467383,(UBE) Usaha Besar,Clothing
X214480931,(UBE) Usaha Besar,Entertainment
X214481103,(UBE) Usaha Besar,Entertainment
X215311028,(UBE) Usaha Besar,Home Furnishing
X215312703,(UBE) Usaha Besar,Food & Beverages
X215900014,(UBE) Usaha Besar,Health Service
X216118778,(UBE) Usaha Besar,Entertainment
X217088756,(UBE) Usaha Besar,Health Service
X217120138,(UBE) Usaha Besar,Restaurants
X217166503,(UBE) Usaha Besar,Transportation
X217199991,(UBE) Usaha Besar,Telecommunication
X217200351,(UBE) Usaha Besar,Entertainment
X217200369,(UBE) Usaha Besar,Entertainment
X217200385,(UBE) Usaha Besar,Entertainment
X217200666,(UBE) Usaha Besar,Entertainment
X217200690,(UBE) Usaha Besar,Entertainment
X217225655,(UBE) Usaha Besar,Health Service
X217235514,(UBE) Usaha Besar,Health Service
X218113470,(UBE) Usaha Besar,Restaurants
X218134468,(UBE) Usaha Besar,Shoes And Bag
X218163947,(UBE) Usaha Besar,Entertainment
X218163996,(UBE) Usaha Besar,Entertainment
X218164077,(UBE) Usaha Besar,Entertainment
X214380693,(UBE) Usaha Besar,Food & Beverages
X214436081,(UBE) Usaha Besar,Department Stores
X201037314,(UBE) Usaha Besar,Restaurants
X201138534,(UBE) Usaha Besar,Restaurants
X201138559,(UBE) Usaha Besar,Restaurants
X201177946,(UBE) Usaha Besar,Entertainment
X201178167,(UBE) Usaha Besar,Entertainment
X204163489,(UKE) Usaha Kecil,Restaurants
X207127606,(UKE) Usaha Kecil,Restaurants
X207191107,(UKE) Usaha Kecil,Restaurants
X205168677,(UKE) Usaha Kecil,Entertainment
X205183403,(UKE) Usaha Kecil,Restaurants
X208226985,(UKE) Usaha Kecil,Restaurants
X608015808,(UMI) Usaha Mikro,Restaurants
X608012921,(UMI) Usaha Mikro,Miscellaneous
X211179627,(UKE) Usaha Kecil,Miscellaneous
X218000308,(UKE) Usaha Kecil,Food & Beverages
X214355950,(UKE) Usaha Kecil,Restaurants
X214379927,(UKE) Usaha Kecil,Stationaries/Office
X214443343,(UKE) Usaha Kecil,Entertainment
X214472672,(UKE) Usaha Kecil,Automobiles And Vehicles
X610004925,(UMI) Usaha Mikro,Food & Beverages
X609009809,(UME) Usaha Menengah,Hotels & Motels
X609009812,(UKE) Usaha Kecil,Clothing
X209170331,(UKE) Usaha Kecil,Food & Beverages
X217153410,(UKE) Usaha Kecil,Restaurants
X210302345,(UKE) Usaha Kecil,Electronic
X611007502,(UMI) Usaha Mikro,Restaurants
X615009163,(UMI) Usaha Mikro,Miscellaneous
X617007753,(UME) Usaha Menengah,Entertainment
X609009859,(UMI) Usaha Mikro,Restaurants
X604003944,(UKE) Usaha Kecil,Restaurants
X610004935,(UMI) Usaha Mikro,Restaurants
X609013546,(UMI) Usaha Mikro,Food & Beverages
X612008138,(UMI) Usaha Mikro,Restaurants
X602008472,(UKE) Usaha Kecil,Restaurants
X601045827,(UKE) Usaha Kecil,Clothing
X618019042,(UKE) Usaha Kecil,Entertainment
X618019045,(UKE) Usaha Kecil,Miscellaneous
X609006518,(UMI) Usaha Mikro,Food & Beverages
X609009671,(UME) Usaha Menengah,Restaurants
X616002198,(UME) Usaha Menengah,Restaurants
X611002129,(UMI) Usaha Mikro,Health Service
X602004218,(UMI) Usaha Mikro,Miscellaneous
X610004938,(UMI) Usaha Mikro,Restaurants
X610004944,(UMI) Usaha Mikro,Restaurants
X609015194,(UMI) Usaha Mikro,Food & Beverages
X606005937,(UMI) Usaha Mikro,Department Stores
X612012713,(UMI) Usaha Mikro,Miscellaneous
X605005865,(UKE) Usaha Kecil,Miscellaneous
X618019186,(UMI) Usaha Mikro,Supermarket/Grocery Stores
X608012667,(UMI) Usaha Mikro,Restaurants
X601018975,(UKE) Usaha Kecil,Miscellaneous
X608021550,(UMI) Usaha Mikro,Miscellaneous
X609074316,(UMI) Usaha Mikro,Food & Beverages
X603007515,(UMI) Usaha Mikro,Restaurants
X608016097,(UKE) Usaha Kecil,Entertainment
X605002903,(UKE) Usaha Kecil,Miscellaneous
X608012691,(UMI) Usaha Mikro,Restaurants
X606011881,(UKE) Usaha Kecil,Supermarket/Grocery Stores
X610005281,(UKE) Usaha Kecil,Community Agencies
X618005146,(UMI) Usaha Mikro,Hotels & Motels
X618005148,(UMI) Usaha Mikro,Supermarket/Grocery Stores
X618005154,(UMI) Usaha Mikro,Restaurants
X618005160,(UMI) Usaha Mikro,Supermarket/Grocery Stores
X609009875,(UMI) Usaha Mikro,Food & Beverages
X608012724,(UMI) Usaha Mikro,Restaurants
X608012711,(UMI) Usaha Mikro,Restaurants
X601026821,(UKE) Usaha Kecil,Restaurants
X618019132,(UMI) Usaha Mikro,Miscellaneous
X609017110,(UMI) Usaha Mikro,Food & Beverages
X612058244,(UME) Usaha Menengah,Health Service
X618019399,(UMI) Usaha Mikro,Restaurants
X603003581,(UMI) Usaha Mikro,Entertainment
X603003584,(UMI) Usaha Mikro,Entertainment
X601039822,(UKE) Usaha Kecil,Miscellaneous
X601039977,(UKE) Usaha Kecil,Miscellaneous
X612058242,(UME) Usaha Menengah,Food & Beverages
X610005319,(UME) Usaha Menengah,Community Agencies
X614014481,(UKE) Usaha Kecil,Restaurants
X610005050,(UME) Usaha Menengah,Health Service
X617010145,(UME) Usaha Menengah,Supermarket/Grocery Stores
X209177120,(UKE) Usaha Kecil,Clothing
X209181148,(UKE) Usaha Kecil,Clothing
